global_product_id,source_platform_std,total_reviews,avg_rating,avg_sentiment_score,positive_reviews,negative_reviews,neutral_reviews,positive_sentiment_pct,negative_sentiment_pct,review_quality_score,active_days
tiki_3014291,tiki,7369,4.830641878138146,0.0,0,0,7369,0.0,0.0,0.75,1
tiki_19419738,tiki,3697,4.710576142818502,0.0,0,0,3697,0.0,0.0,0.75,1
tiki_359484,tiki,1986,4.770896273917422,0.0,0,0,2085,0.0,0.0,0.75,1
tiki_104769768,tiki,1697,4.899233942251032,0.0,0,0,1697,0.0,0.0,0.75,1
tiki_3054369,tiki,1496,4.829545454545454,0.0,0,0,1496,0.0,0.0,0.75,1
tiki_62445418,tiki,1361,4.864805290227774,0.0,0,0,1361,0.0,0.0,0.75,1
tiki_53080935,tiki,1098,4.912568306010929,0.0,0,0,1098,0.0,0.0,0.75,1
tiki_110791834,tiki,1068,4.840823970037453,0.0,0,0,1068,0.0,0.0,0.75,1
tiki_32933095,tiki,1041,4.5706051873198845,0.0,0,0,1041,0.0,0.0,0.75,1
tiki_138481685,tiki,835,4.924550898203592,0.0,0,0,835,0.0,0.0,0.75,1
tiki_4061101,tiki,717,4.856345885634589,0.0,0,0,717,0.0,0.0,0.75,1
tiki_54626520,tiki,700,4.741428571428571,0.0,0,0,700,0.0,0.0,0.75,1
tiki_112087792,tiki,677,4.669128508124077,0.0,0,0,677,0.0,0.0,0.75,1
tiki_58964517,tiki,616,4.902597402597403,0.0,0,0,716,0.0,0.0,0.75,1
tiki_556556,tiki,614,4.429967426710098,0.0,0,0,614,0.0,0.0,0.75,1
tiki_52004412,tiki,613,4.797716150081566,0.0,0,0,613,0.0,0.0,0.75,1
tiki_15677446,tiki,498,4.622489959839357,0.0,0,0,498,0.0,0.0,0.75,1
tiki_73681047,tiki,463,4.628509719222462,0.0,0,0,463,0.0,0.0,0.75,1
tiki_566322,tiki,341,4.80058651026393,0.0,0,0,341,0.0,0.0,0.75,1
tiki_274467128,tiki,326,4.819018404907975,0.0,0,0,326,0.0,0.0,0.75,1
tiki_91190227,tiki,326,4.733128834355829,0.0,0,0,326,0.0,0.0,0.75,1
tiki_199828,tiki,316,4.620253164556962,0.0,0,0,316,0.0,0.0,0.75,1
tiki_561924,tiki,315,4.866666666666666,0.0,0,0,315,0.0,0.0,0.75,1
tiki_10113725,tiki,297,4.818181818181818,0.0,0,0,297,0.0,0.0,0.75,1
tiki_125838628,tiki,289,4.093425605536332,0.0,0,0,289,0.0,0.0,0.75,1
tiki_74907707,tiki,288,4.878472222222222,0.0,0,0,288,0.0,0.0,0.75,1
tiki_25487999,tiki,285,4.484210526315789,0.0,0,0,285,0.0,0.0,0.75,1
tiki_51845073,tiki,266,4.492481203007519,0.0,0,0,266,0.0,0.0,0.75,1
tiki_45620327,tiki,249,3.8714859437751006,0.0,0,0,249,0.0,0.0,0.75,1
tiki_54672660,tiki,247,4.890688259109312,0.0,0,0,247,0.0,0.0,0.75,1
tiki_53970712,tiki,245,4.546938775510204,0.0,0,0,245,0.0,0.0,0.75,1
tiki_4688897,tiki,242,4.574380165289257,0.0,0,0,242,0.0,0.0,0.75,1
tiki_120364526,tiki,233,4.583690987124464,0.0,0,0,233,0.0,0.0,0.75,1
tiki_514927,tiki,219,4.762557077625571,0.0,0,0,219,0.0,0.0,0.75,1
tiki_440757,tiki,218,4.743119266055046,0.0,0,0,218,0.0,0.0,0.75,1
tiki_80959641,tiki,216,4.467592592592593,0.0,0,0,216,0.0,0.0,0.75,1
tiki_30709407,tiki,210,4.7,0.0,0,0,210,0.0,0.0,0.75,1
tiki_14293329,tiki,210,4.671428571428572,0.0,0,0,210,0.0,0.0,0.75,1
tiki_78496225,tiki,201,4.7711442786069655,0.0,0,0,201,0.0,0.0,0.75,1
tiki_561953,tiki,195,4.866666666666666,0.0,0,0,195,0.0,0.0,0.75,1
tiki_127695415,tiki,185,4.583783783783784,0.0,0,0,185,0.0,0.0,0.75,1
tiki_9381544,tiki,182,4.752747252747253,0.0,0,0,182,0.0,0.0,0.75,1
tiki_9948023,tiki,176,4.863636363636363,0.0,0,0,276,0.0,0.0,0.75,1
tiki_112287571,tiki,166,4.72289156626506,0.0,0,0,166,0.0,0.0,0.75,1
tiki_10387236,tiki,156,4.8076923076923075,0.0,0,0,156,0.0,0.0,0.75,1
tiki_78993740,tiki,155,4.858064516129033,0.0,0,0,155,0.0,0.0,0.75,1
tiki_8281099,tiki,154,4.909090909090909,0.0,0,0,154,0.0,0.0,0.75,1
tiki_51286890,tiki,145,4.882758620689655,0.0,0,0,145,0.0,0.0,0.75,1
tiki_57647463,tiki,142,4.654929577464789,0.0,0,0,142,0.0,0.0,0.75,1
tiki_163914808,tiki,139,4.9352517985611515,0.0,0,0,139,0.0,0.0,0.75,1
tiki_38055957,tiki,136,4.639705882352941,0.0,0,0,136,0.0,0.0,0.75,1
tiki_75075591,tiki,133,4.7368421052631575,0.0,0,0,133,0.0,0.0,0.75,1
tiki_43851316,tiki,62,4.290322580645161,0.0,0,0,62,0.0,0.0,0.75,2
tiki_72742726,tiki,60,4.95,0.0,0,0,60,0.0,0.0,0.75,2
tiki_54770214,tiki,119,4.428571428571429,0.0,0,0,119,0.0,0.0,0.75,1
tiki_132189382,tiki,118,4.9491525423728815,0.0,0,0,118,0.0,0.0,0.75,1
tiki_36331816,tiki,118,4.61864406779661,0.0,0,0,118,0.0,0.0,0.75,1
tiki_37130044,tiki,117,4.803418803418803,0.0,0,0,117,0.0,0.0,0.75,1
tiki_248492611,tiki,114,4.0701754385964914,0.0,0,0,114,0.0,0.0,0.75,1
tiki_71156902,tiki,111,4.684684684684685,0.0,0,0,111,0.0,0.0,0.75,1
tiki_179981048,tiki,108,4.907407407407407,0.0,0,0,108,0.0,0.0,0.75,1
tiki_271088208,tiki,103,4.466019417475728,0.0,0,0,103,0.0,0.0,0.75,1
tiki_36189773,tiki,100,3.67,0.0,0,0,100,0.0,0.0,0.75,1
tiki_51971799,tiki,100,4.13,0.0,0,0,100,0.0,0.0,0.75,1
