avg_rating,total_reviews,avg_sentiment_score,positive_reviews,negative_reviews,active_days,positive_sentiment_pct,negative_sentiment_pct,sentiment_category,review_density,positive_ratio,global_product_id,source_platform_std
4.830641878138146,7369,0.0,0,0,1,0.0,0.0,negative,3684.5,0.0,tiki_3014291,tiki
4.710576142818502,3697,0.0,0,0,1,0.0,0.0,negative,1848.5,0.0,tiki_19419738,tiki
4.773141486810552,2085,0.0,0,0,1,0.0,0.0,negative,1042.5,0.0,tiki_359484,tiki
4.899233942251032,1697,0.0,0,0,1,0.0,0.0,negative,848.5,0.0,tiki_104769768,tiki
4.829545454545454,1496,0.0,0,0,1,0.0,0.0,negative,748.0,0.0,tiki_3054369,tiki
4.864805290227774,1361,0.0,0,0,1,0.0,0.0,negative,680.5,0.0,tiki_62445418,tiki
4.912568306010929,1098,0.0,0,0,1,0.0,0.0,negative,549.0,0.0,tiki_53080935,tiki
4.840823970037453,1068,0.0,0,0,1,0.0,0.0,negative,534.0,0.0,tiki_110791834,tiki
4.5706051873198845,1041,0.0,0,0,1,0.0,0.0,negative,520.5,0.0,tiki_32933095,tiki
4.924550898203592,835,0.0,0,0,1,0.0,0.0,negative,417.5,0.0,tiki_138481685,tiki
4.856345885634589,717,0.0,0,0,1,0.0,0.0,negative,358.5,0.0,tiki_4061101,tiki
4.86731843575419,716,0.0,0,0,1,0.0,0.0,negative,358.0,0.0,tiki_58964517,tiki
4.741428571428571,700,0.0,0,0,1,0.0,0.0,negative,350.0,0.0,tiki_54626520,tiki
4.669128508124077,677,0.0,0,0,1,0.0,0.0,negative,338.5,0.0,tiki_112087792,tiki
4.429967426710098,614,0.0,0,0,1,0.0,0.0,negative,307.0,0.0,tiki_556556,tiki
4.797716150081566,613,0.0,0,0,1,0.0,0.0,negative,306.5,0.0,tiki_52004412,tiki
4.622489959839357,498,0.0,0,0,1,0.0,0.0,negative,249.0,0.0,tiki_15677446,tiki
4.628509719222462,463,0.0,0,0,1,0.0,0.0,negative,231.5,0.0,tiki_73681047,tiki
4.80058651026393,341,0.0,0,0,1,0.0,0.0,negative,170.5,0.0,tiki_566322,tiki
4.819018404907975,326,0.0,0,0,1,0.0,0.0,negative,163.0,0.0,tiki_274467128,tiki
4.733128834355829,326,0.0,0,0,1,0.0,0.0,negative,163.0,0.0,tiki_91190227,tiki
4.620253164556962,316,0.0,0,0,1,0.0,0.0,negative,158.0,0.0,tiki_199828,tiki
4.866666666666666,315,0.0,0,0,1,0.0,0.0,negative,157.5,0.0,tiki_561924,tiki
4.818181818181818,297,0.0,0,0,1,0.0,0.0,negative,148.5,0.0,tiki_10113725,tiki
4.093425605536332,289,0.0,0,0,1,0.0,0.0,negative,144.5,0.0,tiki_125838628,tiki
4.878472222222222,288,0.0,0,0,1,0.0,0.0,negative,144.0,0.0,tiki_74907707,tiki
4.484210526315789,285,0.0,0,0,1,0.0,0.0,negative,142.5,0.0,tiki_25487999,tiki
4.818840579710145,276,0.0,0,0,1,0.0,0.0,negative,138.0,0.0,tiki_9948023,tiki
4.492481203007519,266,0.0,0,0,1,0.0,0.0,negative,133.0,0.0,tiki_51845073,tiki
3.8714859437751006,249,0.0,0,0,1,0.0,0.0,negative,124.5,0.0,tiki_45620327,tiki
4.890688259109312,247,0.0,0,0,1,0.0,0.0,negative,123.5,0.0,tiki_54672660,tiki
4.546938775510204,245,0.0,0,0,1,0.0,0.0,negative,122.5,0.0,tiki_53970712,tiki
4.574380165289257,242,0.0,0,0,1,0.0,0.0,negative,121.0,0.0,tiki_4688897,tiki
4.583690987124464,233,0.0,0,0,1,0.0,0.0,negative,116.5,0.0,tiki_120364526,tiki
4.762557077625571,219,0.0,0,0,1,0.0,0.0,negative,109.5,0.0,tiki_514927,tiki
4.743119266055046,218,0.0,0,0,1,0.0,0.0,negative,109.0,0.0,tiki_440757,tiki
4.467592592592593,216,0.0,0,0,1,0.0,0.0,negative,108.0,0.0,tiki_80959641,tiki
4.7,210,0.0,0,0,1,0.0,0.0,negative,105.0,0.0,tiki_30709407,tiki
4.671428571428572,210,0.0,0,0,1,0.0,0.0,negative,105.0,0.0,tiki_14293329,tiki
4.7711442786069655,201,0.0,0,0,1,0.0,0.0,negative,100.5,0.0,tiki_78496225,tiki
4.866666666666666,195,0.0,0,0,1,0.0,0.0,negative,97.5,0.0,tiki_561953,tiki
4.583783783783784,185,0.0,0,0,1,0.0,0.0,negative,92.5,0.0,tiki_127695415,tiki
4.752747252747253,182,0.0,0,0,1,0.0,0.0,negative,91.0,0.0,tiki_9381544,tiki
4.72289156626506,166,0.0,0,0,1,0.0,0.0,negative,83.0,0.0,tiki_112287571,tiki
4.807692307692308,156,0.0,0,0,1,0.0,0.0,negative,78.0,0.0,tiki_10387236,tiki
4.858064516129033,155,0.0,0,0,1,0.0,0.0,negative,77.5,0.0,tiki_78993740,tiki
4.909090909090909,154,0.0,0,0,1,0.0,0.0,negative,77.0,0.0,tiki_8281099,tiki
4.766666666666667,150,0.0,0,0,1,0.0,0.0,negative,75.0,0.0,tiki_176898787,tiki
4.882758620689655,145,0.0,0,0,1,0.0,0.0,negative,72.5,0.0,tiki_51286890,tiki
4.654929577464789,142,0.0,0,0,1,0.0,0.0,negative,71.0,0.0,tiki_57647463,tiki
4.935251798561152,139,0.0,0,0,1,0.0,0.0,negative,69.5,0.0,tiki_163914808,tiki
4.639705882352941,136,0.0,0,0,1,0.0,0.0,negative,68.0,0.0,tiki_38055957,tiki
4.7368421052631575,133,0.0,0,0,1,0.0,0.0,negative,66.5,0.0,tiki_75075591,tiki
4.661157024793388,121,0.0,0,0,1,0.0,0.0,negative,60.5,0.0,tiki_157511267,tiki
4.783333333333333,120,0.0,0,0,1,0.0,0.0,negative,60.0,0.0,tiki_41257992,tiki
4.428571428571429,119,0.0,0,0,1,0.0,0.0,negative,59.5,0.0,tiki_54770214,tiki
4.9491525423728815,118,0.0,0,0,1,0.0,0.0,negative,59.0,0.0,tiki_132189382,tiki
4.61864406779661,118,0.0,0,0,1,0.0,0.0,negative,59.0,0.0,tiki_36331816,tiki
4.803418803418803,117,0.0,0,0,1,0.0,0.0,negative,58.5,0.0,tiki_37130044,tiki
4.0701754385964914,114,0.0,0,0,1,0.0,0.0,negative,57.0,0.0,tiki_248492611,tiki
4.684684684684685,111,0.0,0,0,1,0.0,0.0,negative,55.5,0.0,tiki_71156902,tiki
4.907407407407407,108,0.0,0,0,1,0.0,0.0,negative,54.0,0.0,tiki_179981048,tiki
4.392523364485982,107,0.0,0,0,1,0.0,0.0,negative,53.5,0.0,tiki_361787,tiki
4.466019417475728,103,0.0,0,0,1,0.0,0.0,negative,51.5,0.0,tiki_271088208,tiki
4.5,100,0.0,0,0,1,0.0,0.0,negative,50.0,0.0,tiki_120782190,tiki
4.68,100,0.0,0,0,1,0.0,0.0,negative,50.0,0.0,tiki_72689407,tiki
4.58,100,0.0,0,0,1,0.0,0.0,negative,50.0,0.0,tiki_2902221,tiki
2.68,100,0.0,0,0,1,0.0,0.0,negative,50.0,0.0,tiki_28068292,tiki
4.76,100,0.0,0,0,1,0.0,0.0,negative,50.0,0.0,tiki_201308561,tiki
4.69,100,0.0,0,0,1,0.0,0.0,negative,50.0,0.0,tiki_71898409,tiki
4.41,100,0.0,0,0,1,0.0,0.0,negative,50.0,0.0,tiki_74907707,tiki
4.2,100,0.0,0,0,1,0.0,0.0,negative,50.0,0.0,tiki_13984365,tiki
